"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0042921","nuclear receptor-mediated glucocorticoid signaling pathway","1/2","12/18842",0.0833333333333333,785.083333333333,27.9933071190733,0.00127337830391883,0.0180104911356784,NA,"PER1",1
"GO:0072672","neutrophil extravasation","1/2","12/18842",0.0833333333333333,785.083333333333,27.9933071190733,0.00127337830391883,0.0180104911356784,NA,"CD99",1
"GO:0031958","nuclear receptor-mediated corticosteroid signaling pathway","1/2","13/18842",0.0769230769230769,724.692307692308,26.8929551913953,0.00137945654307947,0.0180104911356784,NA,"PER1",1
"GO:0002693","positive regulation of cellular extravasation","1/2","15/18842",0.0666666666666667,628.066666666667,25.0319859840551,0.00159159612009296,0.0180104911356784,NA,"CD99",1
"GO:0042634","regulation of hair cycle","1/2","21/18842",0.0476190476190476,448.619047619048,21.1457640668208,0.00222787964067417,0.0180104911356784,NA,"PER1",1
"GO:0043153","entrainment of circadian clock by photoperiod","1/2","24/18842",0.0416666666666667,392.541666666667,19.7753144176,0.00254594534508157,0.0180104911356784,NA,"PER1",1
"GO:0009649","entrainment of circadian clock","1/2","27/18842",0.037037037037037,348.925925925926,18.6398788714731,0.00286396034556657,0.0180104911356784,NA,"PER1",1
"GO:0009648","photoperiodism","1/2","29/18842",0.0344827586206897,324.862068965517,17.9827696237769,0.00307594217704432,0.0180104911356784,NA,"PER1",1
"GO:1902624","positive regulation of neutrophil migration","1/2","31/18842",0.032258064516129,303.903225806452,17.390230043412,0.00328790147344515,0.0180104911356784,NA,"CD99",1
"GO:0046329","negative regulation of JNK cascade","1/2","36/18842",0.0277777777777778,261.694444444444,16.131001592649,0.00381770112348778,0.0180104911356784,NA,"PER1",1
"GO:0002691","regulation of cellular extravasation","1/2","37/18842",0.027027027027027,254.621621621622,15.9102495513107,0.00392364415218882,0.0180104911356784,NA,"CD99",1
"GO:0033144","negative regulation of intracellular steroid hormone receptor signaling pathway","1/2","37/18842",0.027027027027027,254.621621621622,15.9102495513107,0.00392364415218882,0.0180104911356784,NA,"PER1",1
"GO:1900744","regulation of p38MAPK cascade","1/2","40/18842",0.025,235.525,15.2983164263986,0.00424143943567745,0.0180104911356784,NA,"PER1",1
"GO:1902622","regulation of neutrophil migration","1/2","41/18842",0.024390243902439,229.780487804878,15.1093909549327,0.00434735992930169,0.0180104911356784,NA,"CD99",1
"GO:0038066","p38MAPK cascade","1/2","55/18842",0.0181818181818182,171.290909090909,13.0307860546887,0.0058296552942857,0.0195528639172989,NA,"PER1",1
"GO:0032922","circadian regulation of gene expression","1/2","65/18842",0.0153846153846154,144.938461538462,11.9769698161808,0.0068877616455485,0.0195528639172989,NA,"PER1",1
"GO:0042303","molting cycle","1/2","66/18842",0.0151515151515152,142.742424242424,11.8849349532305,0.00699354129494467,0.0195528639172989,NA,"PER1",1
"GO:0042633","hair cycle","1/2","66/18842",0.0151515151515152,142.742424242424,11.8849349532305,0.00699354129494467,0.0195528639172989,NA,"PER1",1
"GO:0045123","cellular extravasation","1/2","66/18842",0.0151515151515152,142.742424242424,11.8849349532305,0.00699354129494467,0.0195528639172989,NA,"CD99",1
"GO:0002028","regulation of sodium ion transport","1/2","67/18842",0.0149253731343284,140.611940298507,11.794961150499,0.00709931531057173,0.0195528639172989,NA,"PER1",1
"GO:0072678","T cell migration","1/2","68/18842",0.0147058823529412,138.544117647059,11.706972403757,0.00720508369242934,0.0195528639172989,NA,"CD99",1
