Gene,MM,GS
ENSG00000228261,-0.986165113,0.897214039
ENSG00000234017,-0.9811873,0.846686451
ENSG00000278743,-0.964146809,0.863987333
ENSG00000231967,-0.949617631,0.83040129
ENSG00000283566,-0.948331169,0.804031488
ENSG00000280107,-0.934373919,0.834019994
ENSG00000299580,-0.93417015,0.828921762
ENSG00000287829,-0.932298002,0.840081854
ENSG00000294343,-0.924001745,0.834290071
ENSG00000304028,-0.923572326,0.802189917
ENSG00000233246,-0.923212333,0.993058529
ENSG00000230865,-0.920097222,0.834655223
ENSG00000276403,-0.918452396,0.994657608
ENSG00000117501,-0.916327282,0.985337075
ENSG00000112337,-0.907111207,0.969694068
ENSG00000303214,-0.907111207,0.969694068
ENSG00000264968,-0.906969043,0.9695072
ENSG00000152669,-0.904736449,0.957121413
ENSG00000307842,-0.904444895,0.967762411
ENSG00000223761,-0.900401344,0.958900642
